id,datetime,title,content,link,source
0,2019-07-04 17:26:00,凯恩股份：上半年净利预增36%-75%,"新浪财经讯 7月4日消息，凯恩股份（002012）7月4日晚间公告，预计2019年上半年净利润为1400万元–1800万元，同比增长36.39%-75.36%。上半年，公司对联营企业的投资收益预计较2018年同期有较大幅度增长。,责任编辑：张恒",https://finance.sina.com.cn/roll/2019-07-04/doc-ihytcitk9700234.shtml,sinaStock
1,2019-07-04 14:29:00,飞乐音响被立案:巨亏33亿净资产为负 上个月刚被警示,"原标题：股价暴跌！“中国第一股”被立案调查了：巨亏33亿净资产为负 上个月刚被警示,来源：中国基金报,万万没想到，号称“中国第一股”的老八股之一“小飞乐”，如今却遭遇着重重危机。,7月3日晚间，飞乐音响（维权）发布公告称，收到证监会调查通知书，因公司涉嫌信息披露违法违规，证监会决定对公司立案调查。,在此项调查前，飞乐音响就因虚增营收和利润、业绩大洗澡等问题受到处罚。而过去因并购埋下的商誉减值隐患，也让公司基本面呈现不断恶化的趋势。,更让人忧虑的是，业绩惨淡的飞乐音响未来还将可能面临退市的风险，这也让一度重仓看好的机构和投资者很受伤。,7月4日开盘，飞乐音响股票大跌8.8%，股价最低触及3.4元。截至午间收盘，飞乐音响股价为3.50元，跌幅6.67%。,飞乐音响遭立案调查,曾收证监局警示函,一纸公告，冲击着无数老股民的内心。,有着“中国第一股”之称的飞乐音响（俗称“小飞乐”）在7月3日晚间披露一则公告称，收到中国证监会的《调查通知书》，因公司涉嫌信息披露违法违规，根据《证券法》有关规定，证监会决定对飞乐音响立案调查。,从上述公告来看，这次调查涉嫌的违规原因并没有明确。但从此前飞乐音响的情况而言，仍可能和公司在过去财务报告中虚增业绩、进行财务大洗澡有关。,6月11日，上海证监局向飞乐音响发出一份罚单。上述罚单指出，公司在2017年的部分施工项目收入确认中存在虚增营业收入及净利的情况，导致当年的半年报和三季报业绩出现变脸。因业绩信息披露不准确，以及财务信息虚假记载等情况，违反相关规定，上海证监局决定对飞乐音响出具警示函的行政监管措施。,从上述处罚内容看，飞乐音响大手笔修改项目收入，虚增利润，同时也对2017年的半年度业绩进行粉丝，随后又在2018年年报季阶段进行重新调整，业绩“大变脸”也暴露出其信息披露的重大问题。,据显示，2017年7月13日，飞乐音响发布2017年半年度业绩预增公告称，预计2017年1-6月实现归属于上市公司股东的净利润同比增加400%左右；2017年10月11日，公司发布2017年1-9月业绩预增公告称，预计2017年1-9月实现归属于上市公司股东的净利润同比增加360%左右。,而到了2018年4月28日，飞乐音响发布前期会计差错更正公告，对2017年半年报及三季报的会计差错予以追湖调整，其中累计调减2017年1-6月营业收入7.51亿元、归属于上市公司股东的净利润1.80亿元，调减后2017年半年度业绩较去年同期增长104%；累计调减2017年1-9月营业收入17.42亿元、归属于上市公司股东的净利润3.52亿元，调减后2017年1-9月业绩较去年同期增长54%。,这样一前一后的业绩调整，营收凭空消失了17.42亿元，净利润增长也缩小了数倍，业绩差异十分明显。,“中国第一股”辉煌不再,业绩巨亏引股价暴跌,提起“小飞乐”，不少老股民仍有很多深藏的记忆，作为“中国第一股”，飞乐音响曾是资本追捧的热门公司，其在中国证券市场历史中也占据了重要的地位。,资料显示，早在上世纪八十年代上交所开业前，飞乐音响的股票就已经开始全国发行。1986年9月26日，作为全国首家向社会公开发行股票的股份制试点企业，飞乐音响的股票在中国工商银行上海静安信托业务部上市交易。,1986年11月，飞乐音响股票被当被国家领导人当做礼物赠送给外宾，成为第一张被外国人拥有的新中国股票。1990年12月19日，飞乐音响股票转至上交所交易，并成为万人追捧的热门股，当时股价最高到过美股600.4元。,进过三十多年的发展，飞乐音响的主营业务也早已从音响业务变更为照明业务。如今公司已经成为绿色照明产业、IC卡产业、电子部件产业、计算机系统集成与软件开发于一体的多元化产业公司。然而，这两年，飞乐音响的业绩表现并不如意。,据2018年年报显示，2018年飞乐音响全年营收为33.02亿元，同比下降39.35%。其中，光源电器及灯具类产品生产及销售营收为29.94亿元，占总营收90.76%。照明设备安装工程营收为2.21亿元，占总营收6.69%。音响类产品的销售及工程服务营收为0.4亿元，营收占1.2%。,而从公司的盈利来看，2018年飞乐音响业绩更是出现了巨亏。数据显示，2018年公司归母净利润为-32.95亿元，同比下降6064.90%。,业绩的巨亏也引发了股价的暴跌。仅2018年一年，飞乐音响的股价就从年初的9.1元一路下跌至年底的3.3元，股价跌幅高达63%，市值蒸发超过58亿元。,两起并购埋下隐患,15亿巨额商誉爆雷,2017年营收缩水17亿元、2018年业绩巨亏33亿元，业绩反差如此之大，其核心原因还是和飞乐音响几年前的两起并购有关。,为拓展产业链、升级主营业务，2014年12月，飞乐音响以发行股份方式收购了申安联合持有的北京申安集团72.25%的股权，以现金方式收购了申安联合持有的北京申安集团12.75%的股权及庄申安持有的北京申安集团15%的股权。按照当时披露信息显示，此次并购共计产生了10.44亿元商誉。,在并购后三年时间，申安集团系数完成了业绩承诺，然而2017年承诺期刚过，申安集团的业绩就出现了大幅滑坡。2017年，申安集团净利润实现仅为1473.28万元，同比减少94.07%。2018年，就在飞乐音响对申安集团全额计提了商誉减值。,当时，飞乐音响的解释称，“北京申安受PPP政策收紧、部分前期已确认收入的项目存在未在当期及时履行招投标程序、部分项目存在对完工进度的估计存在偏差的影响，以及应收款项减值准备和存货跌价准备计提较上年大幅增加，导致销售收入、净利润大幅下降”。,从上述说法不难看出，由于项目确认收入的提前，导致了业绩的虚增，加上在这项目中可能存在的虚假做账问题，导致了上市公司出现了重大的违规。,2018年5月，上交所对飞乐音响发出的问询中，也指出了上述项目存在的确认收入偏差的问题。问询函中披露了北京申安集团2017年工程项目存在确认收入后被取消、未在当期及时履行招投标程序即确认收入、对完工进度估计存在偏差的情形。上交所要求公司说明详细情况。,与此同时，2015年12月，飞乐音响以1.384亿欧元的价格，收购了喜万年集团主体80%的股权。不过，收购完成后的喜万年集团也没有达到预期。2016年、2017年，喜万年集团实现营业收入分别为3.62亿欧元和3.26亿欧元，持续经营净利润为1232万欧元、278万欧元，盈利能力持续下降。,对于喜万年集团营业收入下滑的原因，飞乐音响称首先传统灯具行业市场整体竞争激烈、规模萎缩，受行业景气度影响。2018年飞乐音响对喜万年集团合并所形成的商誉4.8亿元预计全额计提减值。,净资产可能出现负值,退市风险近在眉睫,更令投资者受伤的是，业绩惨淡的飞乐音响，最终还将可能面临退市的风险。,除了巨额的商誉负担之外，飞乐音响的资产表现更令人担忧。据2019年一季报数据显示，飞乐音响的净资产仅为-0.83亿元。而据4月5日公告显示，飞乐音响累计涉案金额共计人民币3.8亿元，公司作为被告案件为32例。,对于飞乐音响的持有者而言，公司面临的重重危机无疑也会让今后的股价表现承压，其后续面临也可能面临亏损面继续扩大的情况。据最新的十大流通股股东名单显示，中央汇金、证金公司、信托基金等均重仓持有飞乐音响的股票。,为了解除飞乐音响的困境，大股东仪电集团也先后向上市公司输血进行财务资助。据不完全统计，从去年11月开始至今年4月，大股东先后为飞乐音响提供了8笔财务资助，共计25.5亿元，借款用途主要用于补充上市公司流动资金。,不过面临业绩滑坡、巨额商誉以及监管处罚等重重危机，飞乐音响是否还存有一线生机，尚不可知，但可以肯定的是，在监管调查结果公布之前，投资者仍将继续面临着一轮煎熬。",https://finance.sina.com.cn/stock/relnews/cn/2019-07-04/doc-ihytcerm1293382.shtml,sinaStock
2,2019-07-03 10:51:00,国金证券：华兴源创新一轮增长高峰将至,"来源：证券时报网,国金证券指出，作为国内平板显示检测设备领导厂商，华兴源创将受惠于智能手机屏幕由LCD向OLED及折叠手机形态带来的检测设备更换需求。2019-2021年平板显示设备行业平均的市盈率约为35x，25x和19x，华兴源创上市的发行价格最后确定为24.26元，参考未来三年EPS分别为0.68元，0.99元以及1.05元，对应P/E分别为36x，25x和23x。与行业估值相比，研报认为华兴源创目前的发行定价相对合理，如果考虑市场对于科创板企业的较高溢价，公司的股价可能上探至40-50x的位置。,此外，国金证券表示，看好未来三年国内面板厂柔性OLED产线投产带来巨大的设备更新需求以及OLED屏幕渗透率进一步提升带来的结构性投资机会，建议重点关注平板显示检测设备厂商华兴源创，精测电子，OLED模组段贴合设备厂商劲拓股份以及国内OLED显示面板龙头京东方。,责任编辑：张恒",https://finance.sina.com.cn/roll/2019-07-03/doc-ihytcerm0991837.shtml,sinaStock
3,2019-07-02 15:45:00,巨星科技：上半年净利预增30%至50%,"新浪财经讯 7月2日消息，巨星科技（002444）7月2日晚发布业绩预告，预计上半年净利为4.16亿元至4.8亿元，同比增长30%至50%。,责任编辑：张恒",https://finance.sina.com.cn/roll/2019-07-02/doc-ihytcitk9177196.shtml,sinaStock
4,2019-06-29 15:37:00,解读：贵州茅台股价破千元背后的三大社会真相,"来源：证券时报网,2019年6月27日，一直稳守A股第一高价股的贵州茅台再次创出历史新高，盘中股价突破1000元大关。至此，该股今年以来累计涨幅已近70%，市值高达1.25万亿。27年前，飞乐股份和真空电子先后成为“千元股”，其后就再也没有出现过，一直等到本周四，第三只“千元股”才姗姗来迟。这不能不说是一个历史性的时刻。透过贵州茅台股价上破千元，我们看到了广大投资者对于它的偏爱，同时，我们还很高兴地看到了三大社会真相。,真相之一：消费升级正在进行,改革开放以后，我国将工作重心转移到经济建设上，我国经济取得了高速的发展。与此同时，我国居民的消费水平也跟着得到了快速的提高，缺吃少穿的时代一去不复返，小康社会逐渐来临。,持续多年的高速增长使我国经济的体量迅速变成世界第二，在此基础上，继续保持原有的高速显然已无可能，因此，适时调整经济发展方式就成了必然。经济发展新阶段的特征是，以消费为主要动力拉动经济增长、由高质量发展替代高速增长。最新统计资料显示，今年一季度，我国最终消费支出对经济增长的贡献率达到65.1%。在消费总额不断增长的同时，消费结构也在明显变化。表现之一就是消费升级成了普遍现象。,贵州茅台是高档消费品，个别品种甚至可以说是奢侈品。这些年来，随着其产销量不断扩大，售价也在不断上调，而其市场供求关系不仅没有趋向缓和，反而变得越来越紧张。究其原因，是因为市场需求增长实在太快了。以前公款消费是主力，但“八项规定”实施以后，这类需求已快速萎缩，现在的需求主力已切换为民间需求。只不过，这种需求有两种类型：一种是为了消费；另一种是为了收藏或投资。需要指出的是，用于投资的最终都会进入消费，而一直用于收藏的占比也非常小。,贵州茅台的热销不仅反应出高端饮品具有广阔的市场空间，还从一个侧面显示出消费升级现在已经成为一种普遍现象。我们只要环顾一下自己的周围，就不难发现：住好房、开好车的人越来越多；出国留学、出境游越来越普遍；日常吃的、穿的、用的大家越来越讲究；文化娱乐、体育健身等方面的支出快速增加；等等。这些都是消费升级最为直观的体现。,真相之二：价值投资一直都在,一说到我国A股市场，大家都有一个共同的感觉，那就是投机性太强。应该说，这是客观事实，而且这一特征一直到现在也没有出现根本性的改变。,不过，这并非是A股市场的全貌。实际上，无论是早期阶段还是当前阶段，A股市场一直都有一批坚守价值投资理念的投资者存在。就连那些习惯于投机的人，也会阶段性地追逐那些具有投资价值的个股。也正是由于A股市场一直存在着价值投资这股力量，所以才出现了以万科、云南白药、格力电器、贵州茅台等为代表的长期牛股，其累计高达几十、几百倍甚至上千倍的投资收益，让那些坚持价值投资的长线投资者收益甚丰。,价值投资是成熟市场倍受推崇的投资理念，也是我国证券市场长期以来一直奋力追求的目标。但由于市场运行不规范、优秀上市公司占比少、一夜暴富思想流行于市、散户投资者是市场主流等种种原因，到目前为止，价值投资理念在A股市场仍未能获得应有的地位。大家口头上对其谈论得非常多、但真正能够落实到行动上的却极少。,正是因为坚持价值投资理念的人不多，所以才更加显得这一理念的珍贵。贵州茅台股价创出千元新高，既是对价值投资者进行的奖赏，也显示出即便在高度投机的A股市场，价值投资也一直时隐时现地存在着。要想准确地认识A股市场，大家就不能带着有色眼镜，只看到其过度投机的一面，而看不到其价值投资的一面。如果说，过去价值投资一直都未能形成气候的话，那么，随着市场运行的不断规范、优秀上市公司的逐渐增多、机构投资者的日益壮大，以及散户投资理念的慢慢转化，未来A股市场价值投资行为肯定会越来越普遍，当其发展到一定规模，就必将会改变整个市场的属性。等那一天到来时，A股市场就会由一个高度投机的市场转化成为一个注重投资的市场。,真相之三：实体经济大有可为,一段时期以来，我国金融业取得了超快速度的发展，丰厚的利润吸引着众多实业部门纷纷涉足其中；与此同时，一些行业和企业因为种种原因经营出现了不同程度的困难。金融业与实业在发展过程中出现了显著的反差，最终导致资金“脱实向虚”现象不断出现。这种局面引起了政府部门和社会各界的高度关注。于是，如何正确处理好金融业与实业之间的发展关系就成了人们热议的话题，政府部门也积极采取措施，一方面引导资金“脱虚向实”，另一方面大力扶持实体经济的发展。,实际上，我国实体经济的发展成就是非常辉煌的。我国成为世界第二大经济体、大量出口带来数以万亿计的外汇储备，靠的都是实体经济的发展。我国成为全球第一大制造国，更是由实体经济支撑起来的。因此，实体经济在发展过程中，出现阶段性、局部性的困难和问题，并不能危及其根本。,贵州茅台生产白酒，属传统的制造业，是实体经济的典型代表。其凭借自己独有的口感与工艺，赢得了广大消费者的喜爱。长期专注于主业发展，不仅让越来越多的消费者能够品尝到其精心酿制的美酒，而且其自身也取得了极佳的经济效益，为国家也上缴了可观的税收。,由贵州茅台的广泛受宠，我们可以真切地感受到实体经济的发展仍然具有广阔的空间。现在社会都在讲新兴产业，大家追逐的都是大数据、人工智能、高端制造等。可实际上，即便是非常传统的产业，只要做精、做深、做好，照样有广阔的市场，照样有非常好的经济效益。贵州茅台如此，老干妈等也一样。,在当前这个急剧变化的时代，连美国这样一个持续多年享受金融发展福利的国家，也开始向实业回归，正在想方设法扶持实体经济的发展，就更不用说我们这个全球第一制造业大国了。我们应该充分利用自身的优势，大力发展实体经济。如此，在未来的国际竞争中，才能具有更强的实力。,贵州茅台股价上破千元可以说是一个标志性事件。对此事件，多从几个角度进行观察与讨论，并不是什么坏事。透过股价创新高的表象，我们能感受到居民消费在悄然升级，能够意识到价值投资就隐藏在自己的身边，能够认识到实体经济具有广阔的发展空间。看清了这些真相，我们对我国社会的未来就更加有了信心！,责任编辑：凌辰 SF179",https://finance.sina.com.cn/stock/e/2019-06-29/doc-ihytcitk8538322.shtml,sinaStock
5,2019-06-27 07:37:00,如何看待中信证券清仓式减持中信建投？,"来源：中国经济网,原标题：如何看待中信证券清仓式减持中信建投？,有“市场风向标”之称的券商股，其一举一动尤其会受到市场各方的强烈关注。当一则减持公告将两家龙头券商联系起来时，其热度足够占领财经新闻头条，事实也的确如此。,6月25日晚间，中信建投发布公告称，中信证券拟减持其所持有的全部中信建投股票4.27亿股，占公司总股本比例5.58%。公告一出，各种担心，多种说法迅速霸屏、刷屏。不少投资者的担心不幸变为事实：6月26日，中信建投开盘就一字跌停，报收于23.82元/股。至当日收盘仍有70多万手的封单还挂在跌停板位置上。受此影响，券商板块全线走低，当日上证指数也以绿盘报收。,现在先让我们算一笔账：如果按照6月25日中信建投的收盘价26.48元/股来估算，中信证券减持中信建投回笼资金超过110亿元。如果按照26日的股价计算，中信证券回笼资金也能超过百亿元。当然，具体金额还需根据减持的市场价格有所变化。而2018年，中信证券全年归母净利润仅为93.9亿元。也就是说，该笔股权如果在百亿元价位左右减持完，理论上的收益相当于中信证券上一年赚的钱。钱不可谓不多。,那么，我们应该如何客观理性地看待此次中信证券的清仓式减持呢？,在资本为王的时代，净资本占优的券商会获得更多的机会，即使是头部券商也需要不断补充资金发展经营。中信建投公告中将此次减持的原因说的十分明确，即股东自身经营需要。的确，此次减持后公司可以释放资本金，并提升资本金运用效率，聚焦长期重点发展的机构业务。根据中信证券2018年年报披露，中信建投股权计入长期股权投资，账面公允价值为26.8亿元，预计中信证券2019年将一次性兑现投资收益29.7亿元，占2018年中信证券归母净利润的比例为31.6%。,中信证券虽是券业龙头，但对其他头部券商来说并不是遥不可及。以考验券商资本实力的科创板业务为例，从承销保荐科创板项目数量来看，中信证券目前排名在中信建投、中金公司、华泰联合之后。中信证券持有的9单科创板项目融资金额共计114.8亿元，根据跟投比例，笔者粗略估算得出，仅这9单业务，中信证券的跟投金额大约为4.2亿元，目前最大的一笔跟投约为9300万元。因减持而释放的资本金可以更好地用在刀刃上。,当然，也有业内人士认为，中信证券此时减持，有可能是为了符合“一参一控”规定，避免同业竞争。中信证券此前发布了并购重组预案，收购广州证券事项已经进入监管审核流程，相关资源整合工作已经开始。,此次中信证券的清仓式减持到底会对中信建投产生多大的影响呢？一方面，中信证券持股中信建投比例较低仅为5.58%，即使清仓式减持对中信建投的经营影响也是微弱的。况且，从中信建投角度来看，投行业务是其招牌业务，即使是在去年行业IPO业务整体萎缩的情况下，也能实现保荐业务逆势增长。其保荐项目数量、质量和流程推进效率可见一斑，接下来也将直接受益于科创板和注册制的推进。另外，今年1月份，中信建投披露130亿元定增预案，资本金扩充后，资本中介、自营以及直投业务也有望扩大规模。所以，中信建投在26日一字跌停也是不理性的市场行为。,笔者认为，此次减持之所以会有如此大的“影响力”，更多的是“清仓式”减持字眼在作怪。实际上，中信建投证券在6月12日发布了限售股上市流通公告，本次限售股上市流通数量为4.64亿股，上市流通日期为2019年6月20日，向市场释放过解禁的信息，履行了相关的信披义务。,如同公告所称，此次减持是因为“公司自身经营需要”，是公司在发展过程中一次正常的市场行为。市场各方过度解读和担忧是非理性的。当然，对于股东股份减持，监管层也是立有规矩的，股东应当根据规定和实际情况妥善安排减持步骤，注重信息披露，避免与市场不良预期形成共振。笔者认为，股东对所持股份进行“清仓式”减持时，必须充分考虑市场的稳定，毕竟拥有大量中小散户的A股市场极易放大不良情绪，另外减持方还必须考虑维护相关标的市值。同时，相关法律法规也应对“清仓式”减持作进一步的规范与完善，以充分保护广大投资者尤其是中小投资者的合法权益。,责任编辑：陶然",https://finance.sina.com.cn/roll/2019-06-27/doc-ihytcitk7951354.shtml,sinaStock
6,2019-05-22 11:42:00,广发证券：5G高频趋势下基站及移动终端的材料龙头股,"沃特股份：5G高频趋势下基站及移动终端的材料龙头,来源：广发证券,免责声明：自媒体综合提供的内容均源自自媒体，版权归原作者所有，转载请联系原作者并获许可。文章观点仅代表作者本人，不代表新浪立场。若内容涉及投资建议，仅供参考勿作为投资依据。投资有风险，入市需谨慎。,责任编辑：依然",https://finance.sina.com.cn/stock/e/2019-05-22/doc-ihvhiews3690800.shtml,sinaStock
7,2019-05-13 12:51:00,退市力度加强ST板块再现跌停潮 摘帽概念股逆势上涨,"今日早盘，受利空因素影响，A股大幅跳空低开，上证指数围绕2900点整数关口小幅震荡，成交量继续维持地量状态，显示市场观望气氛略占上风。,截至中午收盘，沪指跌0.99%，深成指跌1.21%，创业板指跌1.66%。盘面上，ST板块、金融板块等跌幅居前，摘帽概念股逆市上涨，前期强势的高送转概念股分化严重。,证监会主席易会满上周表示，要探索创新退市方式，实现多种形式的退市渠道，对严重扰乱市场秩序、触及退市标准的企业，坚决退市一退到底。,5月10日晚间，深交所一次性发布了乐视网（维权）、千山药机（维权）、*ST龙力（维权）、*ST凯迪（维权）、金亚科技（维权）、*ST皇台（维权）、*ST德奥等7家公司的暂停上市公告，数量之多，力度之大，可谓史无前例。,受上述消息影响，早盘ST概念股再现跌停潮，*ST富控（维权）、ST天润（维权）、*ST仁智（维权）、ST银亿等逾30只个股跌停。其中，*ST华业自被披星带帽后已经连续7个一字跌停，今日股价跌停板后封单仍有逾70万手，股价报1.94元更是创历史新低。,上周五*ST华业公告称，截至2019年4月，公司累计对外提供担保金额共计90.9亿元，占公司2018年经审计净资产的3973.68%，其中逾期担保总额逾41亿元。公司同日另一份公告称，2018年末净资产2.28亿元，2018年度净利润为-64.38亿元，亏损金额达到净资产的2813.96%。,*ST天圣上市不到2年就被披星带帽，股价也是连续8个一字跌停，创历史新低。由于公司2018年财务报告被北京兴华会计师事务所（特殊普通合伙）出具了无法表示意见的审计报告，主要原因为公司原董事长刘群因涉嫌职务侵占罪被重庆市公安局执行指定居所监视居住，以及另外多名原高管因涉嫌犯罪被公安机关刑事拘留，会计师未能获取前述案件的详细资料，无法确定职务侵占的对象、发生时间、侵占方式、侵占数额等。,近日，深交所发年报问询函，要求公司说明：（1）上述事项对你公司财务状况和经营情况的具体影响，以及拟采取的应对措施，并充分提示相关风险；（2）请结合公司内控自我评价报告，详细说明公司内部控制制度以及执行情况是否有效、是否存在重要或重大缺陷；（3）2018年以来，你公司董事、高级管理人员发生了较大的变化，请说明多名董事、高管的变动对你公司日常经营的影响以及公司在保障管理团队和核心员工稳定性方面已采取和拟采取的措施。,今日，ST天润、*ST仁智、*ST神城（维权）、*ST科林等股价也创历史新低，*ST富控、ST银亿、*ST高升（维权）等股价也在历史低点附近徘徊。,逾ST板块大跌相对应的是，今日脱帽摘星概念股逆市走强，览海投资、友好集团涨停，石化油服、金岭矿业、安源煤业等盘中一度涨停，大唐电信、哈空调等涨幅居前。,友好集团自5月7日撤销退市风险警示以来，连续收阳，近2交易日更是连续涨停，股价创一年半以来新高。友好集团2018年度业绩扭亏为盈，2019年一季度再次盈利4066万元，比2018年度全年净利润3729万元还多。,大宗交易信息显示，上海华信证券上海宜山路营业部，自去年4月份开始，连续5次买入友好集团。最近一次为上周五买入35万股。,览海投资、石化油服等摘帽股近日也连续受到主力资金的关注，均呈现大幅净流入状态。,责任编辑：常福强",https://finance.sina.com.cn/roll/2019-05-13/doc-ihvhiews1522906.shtml,sinaStock
8,2019-05-13 06:48:00,皮海洲：把1250元的贵州茅台留给机构投资者自娱自乐,"皮海洲,作为A股市场的焦点股票，贵州茅台虽然因为控股股东贵州茅台集团设立营销公司一事，近日在市场上闹得沸沸扬扬，甚至因此收到上交所的监管函，但这并没有改变一些市场人士继续对贵州茅台后市的看好。比如最近，中金公司发布研报，将贵州茅台目标价上调25%至1250元。,1250元？对于A股市场来说，这是一个骇人听闻的价格。因为A股市场自从全国联网交易以来，还不曾有过千元的股票。因此，1250元对于A股市场来说，这将是一个创造历史的价格。,那么，贵州茅台会不会达到1250元的高度呢？从发展的趋势来说，这个可能性是存在的。比如，贵州茅台公司仍然保持较快的发展速度，而且公司在利润分配时不进行送转股，如此一来，这个可能性还是有的。毕竟当下的贵州茅台股价一度创出了990元的历史新高，距离千元只有一步之遥，到达1250元，也只有26%的涨幅，因此这不是没有可能。,只是对于当下的市场来说，贵州茅台会不会达到1250元的高位，这确实要见仁见智了。从中金公司来说，一直都是唱多贵州茅台股价的，而且回顾历史，中金公司唱多贵州茅台似乎也没有什么过错。但投资者能不能按照中金公司的预测来操作却是一个大问题。比如，去年贵州茅台的股价达到800元之时，中金公司同样积极唱多贵州茅台的股价到925元，如今看来，贵州茅台股价确实达到了925元的位置，但投资者如果去年在中金公司唱多贵州茅台之时买进股票的话，那结局恐怕就惨了，因为贵州茅台的股价随后从800元跌到了509元。可见，在当时，中短线做空茅台才是对的，做多茅台反倒会给自己带来较大的损失。贵州茅台会不会重演历史一幕，这个谁也无法预知。,不过，对于中小投资者来说，贵州茅台走向何方，这个问题其实并不重要。因为随着贵州茅台的股价高企，贵州茅台已经沦为“贵族股”，已经不是中小投资者可以随意买进的股票了。目前买进1手贵州茅台股票需要资金9万元，这已经是很多中小投资者股票账户的全部资金总额了。所以，很多中小投资者已经买不起贵州茅台了。如此一来，贵州茅台的涨跌也与这些中小投资者无关了。一些市场人士就是想忽悠中小投资者接盘，中小投资者也是没有能力来接盘。就算贵州茅台的股价真的要涨到1250元，中小投资者只能、也只需将其当成股市里的一道风景来欣赏好了。,也正因如此，贵州茅台也就成了机构投资者自娱自乐的一个投机炒作品种。由于很多中小投资者买不起，所以贵州茅台的投资者以机构投资者为主，大户投资者为辅，只有很少的中小投资者参与其中。也正因为是以机构投资者为主的缘故，这也使得贵州茅台的股价表现出相对稳定的特征。尤其是在股市下跌的时候，贵州茅台股价会表现出一定的抗跌性。虽然贵州茅台的股价早已脱离了价值投资的范围，但却是较好的价值投机品种。毕竟与康美药业、康得新这种“地雷公司”相比，贵州茅台这样的公司还是令人放心得多。相对应的是，这样的股票也更能获得大资金的认同。,所以，贵州茅台能不能站上1250元，这就要看机构投资者的选择了。毕竟只是机构投资者的一种自娱自乐罢了，想怎么玩就怎么玩。当然，在这个过程中，唯一要看的就是管理层的脸色。,责任编辑：常福强",https://finance.sina.com.cn/stock/e/2019-05-13/doc-ihvhiews1460660.shtml,sinaStock
9,2019-04-08 21:05:00,博瑞生物冲刺科创板：此前估值32亿  红杉智盛持股,"博瑞生物冲刺科创板：此前估值32亿 红杉智盛持股,新京报记者 李云琦 编辑 程波 校对 柳宝庆,新京报快讯（记者 李云琦）4月8日晚间，上交所披露最新受理了视联动力、博瑞生物两家公司的科创板上市申请。资料显示，博瑞生物全称为博瑞生物医药（苏州）股份有限公司，2001年成立，法定代表人为袁建栋。博瑞生物此次申报科创板，计划发行不超过4100万股股份，占发行后总股本比例不低于10%。,博瑞生物一直从事高技术壁垒的医药中间体，原料药和制剂产品的研发和生产业务，产品覆盖抗肿瘤、抗感染、心脑血管、补铁剂等领域。,数据显示，2016年度至2018年度，博瑞生物的营业收入分别为2亿元、3.16亿元、4.1亿元，净利润分别为1706万元、4587万元、7624万元。截至2018年年底，博瑞生物的资产总额为8.78亿元，归属于母公司所有者权益为7.7亿元。,2016年度至2018年度，博瑞医药的综合毛利率分别为57.67%、58.93%、58.83%。根据公告，公司的技术收入包括两大类，一类是创新药的技术成果转让，另一类是协助下游客户完成仿制药的技术转移和注册申报，并以取得临床批件或生产批件为合同目标。,目前博瑞生物的实际控制人为袁建栋和钟伟芳。钟伟芳与袁建栋为母子关系，二人合计控制公司50.94%的表决权。,2018年11月，博瑞生物引入红杉智盛等股东，增资价格为67.2元/股，其中红杉智盛出资1.2亿元。截至公司披露招股书，红杉智盛持有博瑞生物7.78%的股权。,此外，还有大股东为财政部的先进制造持有博瑞生物5.04%的股权；国有股份公司禾裕科贷持有博瑞生物1.1788%股权。,根据博瑞生物招股书，公司最后一轮融资投后估值为32.5亿元人民币，预计此次发行市值不低于10亿元。本次募集资金后，博瑞医药拟使用3.59亿元的资金用于泰兴原料药和制剂生产基地。,责任编辑：常福强",https://finance.sina.com.cn/roll/2019-04-29/doc-ihvhiqax0983884.shtml,sinaStock
